"start","variable","value"
2020-06-21,"anxiety",0.150327197391642
2020-06-28,"anxiety",-0.102177285421473
2020-07-05,"anxiety",-0.0901217744043766
2020-07-12,"anxiety",-0.0375353671221659
2020-07-19,"anxiety",0.0367596009725699
2020-07-26,"anxiety",-0.0472077872480081
2020-08-02,"anxiety",0.0141364322857272
2020-08-09,"anxiety",-0.00493115063581005
2020-08-16,"anxiety",0.0921861407386902
2020-08-23,"anxiety",0.0886844203649929
2020-08-30,"anxiety",0.0559841416357276
2020-09-06,"anxiety",0.0372547781837331
2020-09-13,"anxiety",0.211109088024146
2020-09-20,"anxiety",0.0360169365019592
2020-09-27,"anxiety",-0.0409286184637037
2020-10-04,"anxiety",-0.0577332150153376
2020-10-11,"anxiety",-0.0594804627244086
2020-10-18,"anxiety",0.0748423275433825
2020-10-25,"anxiety",0.158766499500637
2020-11-01,"anxiety",0.22196904732929
2020-11-08,"anxiety",0.209854581599204
2020-11-15,"anxiety",0.0261917724218838
2020-11-22,"anxiety",0.0208722834386535
2020-11-29,"anxiety",0.0878424433512526
2020-12-06,"anxiety",0.109373995185836
2020-12-13,"anxiety",0.238300701425337
2020-12-20,"anxiety",0.0734978313061232
2020-12-27,"anxiety",-0.0320758949359551
2021-01-03,"anxiety",0.0832820047243612
2021-01-10,"anxiety",0.167343027044461
2021-01-17,"anxiety",0.192766964728416
2021-01-24,"anxiety",0.10806679880502
2020-01-02,"anxiety",-0.001551032401668
2020-01-09,"anxiety",-0.0981956260277995
2020-01-16,"anxiety",0.013997407962132
2020-01-23,"anxiety",-0.0924645380658599
2020-01-30,"anxiety",0.0142056007333947
2020-02-06,"anxiety",0.0496253200023165
2020-02-13,"anxiety",-0.0275671083068805
2020-02-20,"anxiety",0.0822873550683457
2020-02-27,"anxiety",0.329097638924245
2020-03-05,"anxiety",0.115374742611185
2020-03-12,"anxiety",0.359606144016827
2020-03-19,"anxiety",0.133372372928691
2020-03-26,"anxiety",0.0178298720359158
2020-04-02,"anxiety",0.215080725973424
2020-04-09,"anxiety",0.00902861884156073
2020-04-16,"anxiety",0.0585281084386806
2020-04-23,"anxiety",-0.114407316676249
2020-04-30,"anxiety",0.0137323009803188
2020-05-07,"anxiety",0.0615373462026173
2020-05-14,"anxiety",0.0579890209760362
2020-05-21,"anxiety",-0.0398487253281488
2020-05-28,"anxiety",-0.0854006444633095
2020-06-04,"anxiety",0.0950198985720803
2020-06-11,"anxiety",-0.055067852251383
2020-06-18,"anxiety",0.0359254195248934
2020-06-25,"anxiety",-0.0413443171281123
2020-07-02,"anxiety",0.367365267911329
2020-07-09,"anxiety",-0.0159972237373559
2020-07-16,"anxiety",0.0865438581372269
2020-07-23,"anxiety",-0.0806868272749219
2020-07-30,"anxiety",0.0672038938496523
2020-08-06,"anxiety",-0.00457417778537922
2020-08-13,"anxiety",0.0626907464042033
2020-08-20,"anxiety",0.0284375508389828
2020-08-27,"anxiety",0.133601707080429
2020-09-03,"anxiety",0.074567973664686
2020-09-10,"anxiety",0.246441842818571
2020-09-17,"anxiety",0.123690866182024
2020-09-24,"anxiety",0.145479152970539
2020-10-01,"anxiety",0.00157433976586814
2020-10-08,"anxiety",0.110518530031696
2020-10-15,"anxiety",0.283400369847204
2020-10-22,"anxiety",0.194040200932639
2020-10-29,"anxiety",0.330591085524401
2020-11-05,"anxiety",0.170379658040175
2020-11-12,"anxiety",0.100740139412677
